competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent
Pixie Sticks,0,0,0,0,0,0,0,0,1,0.093000002,0.023
Pop Rocks,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001
Red vines,0,1,0,0,0,0,0,0,1,0.58099997,0.116
ReeseÕs Miniatures,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001
ReeseÕs Peanut Butter cup,1,0,0,1,0,0,0,0,0,0.72000003,0.65100002
ReeseÕs pieces,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002
ReeseÕs stuffed with pieces,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002
Ring pop,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997
Rolo,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001
Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.068999998
Runts,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001
Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081
Skittles original,0,1,0,0,0,0,0,0,1,0.94099998,0.22
Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94099998,0.22
Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001
Smarties candy,0,1,0,0,0,0,1,0,1,0.26699999,0.116
Snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002
Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002
Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.068999998,0.116
Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.068999998,0.116
Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22
Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998
Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002
Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999
Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.116
Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755
Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999
Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998
Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011
Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999
Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255
Twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002
Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.116
Warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.116
WelchÕs Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999
WertherÕs Original Caramel,0,0,1,0,0,0,1,0,0,0.186,0.26699999
Whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999
